Linux 3.10.0-229.el7.x86_64 (ip-10-145-11-135.us-west-1.compute.internal) 	08/19/2015 	_x86_64_	(32 CPU)

11:22:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:23:11 AM     all     41.50      0.00     20.05     14.73      0.12     23.59
11:24:11 AM     all     54.58      0.00     15.62      5.80      0.21     23.79
11:25:11 AM     all     49.97      0.00      8.87     10.24      0.18     30.74
11:26:11 AM     all     41.71      0.00      8.17     10.89      0.12     39.11
11:27:11 AM     all     41.22      0.00      9.48     12.16      0.12     37.02
11:28:11 AM     all     35.83      0.00      7.67     14.46      0.10     41.94
11:29:11 AM     all     27.30      0.00      6.05     14.57      0.11     51.97
11:30:11 AM     all     36.54      0.00      9.07     15.01      0.06     39.33
11:31:11 AM     all     31.22      0.00      7.34     16.08      0.06     45.29
11:32:11 AM     all     34.76      0.00      6.00     15.52      0.08     43.64
11:33:11 AM     all     36.07      0.00      7.31     13.08      0.09     43.46
11:34:11 AM     all     45.19      0.00     10.40      9.65      0.12     34.63
11:35:11 AM     all     36.59      0.00      8.92     12.64      0.14     41.71
11:36:11 AM     all     44.30      0.00      9.73     10.52      0.12     35.33
11:37:11 AM     all     44.10      0.00     11.31      9.62      0.22     34.74
11:38:11 AM     all     50.34      0.00     11.69      8.46      0.18     29.34
11:39:11 AM     all     40.21      0.00      9.20     12.98      0.10     37.51
11:40:11 AM     all     38.06      0.00      9.91     14.53      0.10     37.40
11:41:11 AM     all     39.99      0.00     10.41     13.50      0.12     35.98
11:42:11 AM     all     47.66      0.00     11.30      9.09      0.15     31.80
11:43:11 AM     all     46.58      0.00     13.46      4.94      0.38     34.65
11:44:11 AM     all     50.46      0.00     14.16      4.05      0.33     30.99
11:45:11 AM     all     48.46      0.00     13.68      2.19      0.46     35.21
11:46:11 AM     all     46.67      0.00     14.00      1.31      0.51     37.51
11:47:11 AM     all     48.19      0.00     14.04      2.91      0.43     34.44
11:48:11 AM     all     51.17      0.00     14.45      2.79      0.31     31.28
11:49:11 AM     all     47.54      0.00     14.17      2.50      0.39     35.40
11:50:11 AM     all     46.74      0.00     15.30      3.19      0.43     34.34
11:51:11 AM     all     47.91      0.00     14.75      3.33      0.36     33.65
11:52:11 AM     all     45.95      0.00     14.13      4.46      0.39     35.07
11:53:11 AM     all     45.90      0.00     14.17      3.75      0.44     35.74
11:54:11 AM     all     46.70      0.00     14.87      7.36      0.26     30.80
11:55:11 AM     all     44.49      0.00     13.74      8.91      0.24     32.61
11:56:11 AM     all     40.96      0.00     13.79     10.25      0.26     34.74
11:57:11 AM     all     41.07      0.00     14.65      6.46      0.39     37.41
11:58:11 AM     all     40.30      0.00     15.54     10.05      0.19     33.92
11:59:11 AM     all     41.58      0.00     13.52      8.47      0.29     36.15
12:00:11 PM     all     39.89      0.00     14.11      8.15      0.35     37.50
12:01:11 PM     all     40.56      0.00     14.58      8.55      0.31     36.02
12:02:11 PM     all     38.58      0.00     13.87      8.81      0.34     38.40
12:03:11 PM     all     36.58      0.00     12.58     11.89      0.24     38.71
12:04:11 PM     all     36.23      0.00     12.41     14.08      0.16     37.13
12:05:11 PM     all     30.01      0.00     10.88     16.85      0.12     42.14
12:06:11 PM     all     25.90      0.00      8.00     17.83      0.07     48.21
12:07:11 PM     all     33.03      0.00      9.94     16.56      0.12     40.36
12:08:11 PM     all     38.52      0.00     12.74     13.51      0.13     35.10
12:09:11 PM     all     34.83      0.00     10.85     16.39      0.09     37.85
12:10:11 PM     all     35.83      0.00     11.10     16.32      0.11     36.66
12:11:11 PM     all     41.32      0.00     12.66     14.06      0.15     31.82
12:12:11 PM     all     44.01      0.00     12.89      9.04      0.24     33.83
12:13:11 PM     all     42.93      0.00     15.08      5.18      0.40     36.41
12:14:11 PM     all     42.87      0.00     14.53      4.97      0.40     37.22
12:15:11 PM     all     42.15      0.00     14.10      5.37      0.36     38.03
12:16:11 PM     all     40.26      0.00     14.99      4.75      0.44     39.56
12:17:11 PM     all     37.93      0.00     15.21      5.00      0.55     41.30
12:18:11 PM     all     39.51      0.00     15.45      6.79      0.45     37.80
12:19:11 PM     all     40.61      0.00     14.36     10.48      0.22     34.33
12:20:11 PM     all     35.46      0.00     13.61     13.52      0.21     37.20
12:21:11 PM     all     32.75      0.00     11.08     18.65      0.11     37.41
12:22:11 PM     all     27.97      0.00      8.88     21.59      0.07     41.49
12:23:11 PM     all     22.43      0.00      8.58     21.69      0.10     47.21
12:24:11 PM     all     16.64      0.00      7.80     22.64      0.07     52.86
12:25:11 PM     all     16.78      0.00      7.47     22.61      0.08     53.06
12:26:11 PM     all     14.24      0.00      6.48     22.08      0.07     57.11
12:27:11 PM     all     13.84      0.00      5.87     21.65      0.08     58.55
12:28:11 PM     all     14.05      0.00      5.24     21.20      0.08     59.43
12:29:11 PM     all     14.45      0.00      5.80     22.16      0.08     57.51
12:30:11 PM     all     13.90      0.00      5.37     22.61      0.07     58.05
12:31:11 PM     all     18.58      0.00      7.21     21.99      0.09     52.12
12:32:11 PM     all     19.22      0.00      7.94     21.15      0.09     51.59
12:33:11 PM     all     16.72      0.00      7.22     20.63      0.09     55.34
12:34:11 PM     all     16.24      0.00      7.10     21.56      0.08     55.02
12:35:11 PM     all     23.59      0.00      9.26     21.68      0.12     45.35
12:36:11 PM     all     31.88      0.00     12.29     14.98      0.22     40.63
12:37:11 PM     all     40.10      0.00     14.01      4.53      0.47     40.89
12:38:11 PM     all     36.73      0.00     14.28      5.33      0.55     43.12
12:39:11 PM     all     35.37      0.00     14.15      4.86      0.55     45.06
12:40:11 PM     all     35.77      0.00     13.41      7.59      0.41     42.83
12:41:11 PM     all     26.86      0.00     11.35     15.96      0.23     45.60
12:42:11 PM     all     23.66      0.00      9.98     17.90      0.17     48.29
12:43:11 PM     all     27.22      0.00     11.76     14.62      0.27     46.13
12:44:11 PM     all     24.83      0.00     13.29     14.18      0.34     47.35
